MV Number - Based on Word count (S - L),Main Cue,Story,Emotional Intensity,Emotion Aversion,Harm,Self Benefit,Other Benefit,Pre-meditated,Illegality,Social Norm Violation,Socialness,Frequency,Personal Familiarity,General Familiarity,Morally Appropriate,Norm Violation Component,Social Affect Component,Intention Component,Word Count
49,Reckless,"I used to drink and drive a lot. One time I borrowed my brother’s car, was drunk and had taken Valium. I sideswiped another car that had its door open.  I got scared and kept driving.",4.93,5.30,5.93,2.20,1.20,3.90,6.50,6.40,5.83,4.43,1.80,3.80,1.30,1.87,.77,-1.39,36
275,Cheated,"I put a poster that I had on EBay. There was a man who bid on it and paid with a system that sent the money directly to me. He was kind of a jerk during the whole transaction, so I decided not to send the poster and just keep the money.",4.07,3.50,5.10,5.00,1.30,4.87,6.00,5.93,5.70,3.40,1.80,3.13,1.50,1.51,-.26,.83,52
306,Unfaithful,"I was in a relationship with a girl named Pam that I didn’t really want to be with anymore. I was attracted to another girl named Annie who I hung out with often. So, she and I engaged in very loud sexual play on my couch so that Pam would hear us in the other room.",5.10,3.13,5.97,4.90,2.23,5.70,2.10,6.10,6.37,3.37,1.63,2.83,1.57,.77,.97,1.52,56
86,Unfaithful,I am a very unfaithful person in general. I do not have a strong faith in God and I am constantly unfaithful to women. Recently I cheated on my girlfriend who comes from another state to see me. ,4.87,3.87,5.63,4.23,1.63,5.37,2.47,6.20,6.23,4.83,2.47,4.20,1.57,.96,.94,.82,38
62,Unfaithful,"During my first marriage, I was unfaithful once. My neighbor was a very, very good-looking man and he lived in my co-op apartment building.  I was unfaithful for about a month and my husband never found out.  ",5.37,4.00,5.20,4.37,2.67,5.13,3.80,6.40,5.90,4.80,1.70,4.20,1.60,.99,.83,.75,37
66,Guilty,"Once, when I was a teenager, I was driving drunk down a road. An old farm dog came out into the middle of the road and started barking. I purposely ran right over it and killed it.",5.13,4.53,5.97,2.10,1.57,3.23,5.47,6.47,4.40,3.23,1.53,2.50,1.63,1.79,.07,-2.02,37
125,Took Something,"Ten years ago I was staying with a friend who lived in a house of a very famous man. There were many autographed books in the house. I stole one of the books, which was autographed by a very famous celebrity.",3.97,3.20,5.07,5.77,1.63,4.33,5.97,6.17,5.07,3.47,1.47,3.03,1.63,1.58,-.77,.84,41
119,Sneaky,There was a time for about a month that I was kind of into crystal methane. At the time I snuck around and did it in my house. My mother didn’t know that I was doing it in the bathroom. ,4.70,4.47,4.30,2.70,1.57,5.33,6.03,6.07,4.30,4.33,1.30,3.20,1.63,1.46,-.19,-.51,40
208,Regretful,"I had a friend who was incarcerated. One day, his girlfriend was driving his car. I was driving my girlfriend’s car and got into an accident. My friend’s car was one of the cars that I hit, but I just drove away and never told my friend. ",4.97,5.13,5.70,4.03,1.57,3.03,5.93,5.97,6.10,3.20,1.70,3.00,1.70,1.64,.62,-.85,47
198,Cheated,"I was responsible for the financial wellbeing of the women members in my family. They really needed all the money that they had and could get. So, through a bit of “creative reporting” on their taxes, I ended up cheating the government out of about $100,000.",3.87,3.83,4.63,4.07,5.33,6.27,6.73,5.63,5.93,3.80,1.57,3.30,1.73,.73,.18,1.43,46
139,Unfaithful,I was getting a massage at the gym and the massage therapist came on to me. I was dating a guy named Brad at the time though. I was unfaithful to Brad and had sex with the man who was massaging me.,5.37,3.87,5.43,4.80,3.00,3.13,2.63,6.13,6.00,3.87,1.80,3.37,1.73,.89,.71,-.13,42
127,Lied,"I used to work as a legal assistant. I lied to clients all of the time, the attorney I worked for lied all the time too. We just lie to our clients so things will work out the best for us. ",3.93,3.73,5.93,5.43,2.23,5.90,5.93,6.27,6.33,4.57,2.13,3.93,1.73,1.38,.27,1.81,41
56,Unfaithful,My first husband was never sensitive to my needs. I cheated on him because he wasn’t there for me. He was not affectionate. I decided to have an affair because I felt like he deserved it. ,6.00,4.47,5.73,4.43,2.13,5.80,3.70,6.40,6.43,4.77,1.80,4.03,1.73,1.01,1.54,1.19,36
50,Unfaithful,I have cheated pretty much all of my life. The most recent time was because I was in a long distance relationship. There were so many opportunities to cheat that I just gave into the temptation. ,4.73,3.73,5.70,4.23,2.10,5.10,2.50,6.40,6.37,4.90,2.03,4.17,1.73,.91,.91,.74,36
228,Unfaithful,"I cheated on my present boyfriend. I didn’t understand why he did not want to get married. I felt like he didn’t want to get married because of me and because he didn’t want to be with me, so I thought it was okay to have an affair.",5.83,4.97,5.60,3.57,2.27,4.80,2.27,6.10,6.13,4.30,2.13,4.17,1.73,.85,1.58,.02,48
159,Regretful,"In the late nineties, I got my girlfriend pregnant. She told me she was pregnant and that she wanted me to be there for her. At first I took her to her appointments and such, until I became nervous and ended the relationship. ",5.60,5.23,5.73,3.80,1.73,4.33,2.27,5.83,6.23,4.70,1.60,4.33,1.77,.96,1.52,-.20,43
206,Embarrassed,I was in a relationship with this woman named Beth for a while. Then one night I cheated on Beth with my ex-girlfriend. The next morning my ex came by to see why I didn’t stay the night at her place and she saw me with Beth. ,5.50,5.67,5.63,3.23,1.97,4.07,2.47,6.23,6.27,4.40,2.17,4.37,1.77,1.03,1.62,-.67,47
74,Reckless,"A couple of years ago, I was out on the streets using drugs. I had a very young attractive girlfriend. I used to let her do whatever she wanted to do, like prostitution and stuff like that. ",4.93,4.33,5.27,2.70,2.30,4.50,5.63,6.07,5.73,3.30,1.37,2.50,1.80,1.29,.56,-.60,37
14,Took Something,When I was younger I worked for my dad in the produce business. I felt that he would underpay me and I deserved more. So I would self-compensate and take money from him.,4.57,3.80,5.07,5.53,1.97,5.40,5.63,5.83,5.60,4.27,1.73,3.20,1.80,1.28,.04,1.39,33
174,Took Something,"I worked in a cosmetics department store in the 80’s. I started stealing clothes by pretending to ring them up, as if I was buying them, and then just putting them in my bag. I kept taking clothes and eventually the store found out.  ",4.17,4.30,4.77,4.53,1.50,5.93,6.37,5.97,4.13,4.50,1.90,3.63,1.80,1.58,-.57,.75,44
46,Unfaithful,I was married for three years when I became attracted to a woman at work. One night when my wife was away with friends I was unfaithful to her. I then continued to have an affair. ,5.57,3.87,5.93,4.70,2.30,5.33,3.73,6.33,6.43,4.93,1.90,4.00,1.80,1.02,1.17,1.14,36
8,Took Something,"When I was little I would steal from supermarkets. I would steal things that my brothers and I wanted. I got caught a couple of times, but just kept doing it.",3.63,3.33,4.37,4.33,2.67,5.67,6.03,5.90,5.07,4.70,2.37,4.03,1.80,1.16,-.60,.92,31
261,Guilty,As I was backing out of a parking lot I bumped a parked car and left a minor dent. I didn’t even feel the impact when I hit the car but it left a little bit of damage. I drove away without leaving a message or trying to contact the person.,3.90,3.93,5.20,4.97,1.70,2.90,5.57,5.70,5.47,5.30,3.00,4.53,1.80,1.52,-.48,-.43,51
65,Guilty,I cheated on my girlfriend even though I knew that she would find out and be upset. I cheated on her for a very long time and really hurt her. She found out and we broke up.,5.97,5.00,6.07,4.00,2.03,5.67,2.23,6.17,6.17,5.23,2.27,4.70,1.80,.89,1.77,.72,37
186,Cheated,I was in high school and about to take a physiology exam. I didn’t study for the test so I grabbed the exam of a guy who sat in front of me. I passed it around to my friends nearby and then gave it back.,3.80,3.33,4.43,5.30,4.67,4.17,4.80,5.77,5.93,4.23,1.87,3.73,1.83,.69,-.21,.88,45
148,Took Something,I took my sister’s ring that was given to her by our father’s aunt. I had never met our father’s aunt but my sister spent some time with her. I took the ring because I didn’t think that my sister deserved it. ,4.47,3.60,5.10,4.83,1.73,5.40,4.70,5.57,5.43,2.97,1.60,3.00,1.87,1.13,.03,.99,42
264,Tempted,"I had just gotten out of prison and moved in with my sister. One day I decided to go down to my old neighborhood where I used to get high and do drugs. I didn’t go with the intention to do drugs, but I ended up giving in and buying some. ",4.77,4.83,3.80,2.97,1.97,2.97,5.93,5.63,4.37,4.43,1.63,3.37,1.87,1.40,-.40,-1.75,51
203,Regretful,"When I was graduating from high school, I had a friend whom I wasn’t really getting along with anymore. He was coming to see me when he got into a car accident. I chose that time at the hospital to tell him our friendship was over.",5.53,4.73,5.73,3.83,1.70,4.67,1.73,6.07,6.23,2.27,1.40,2.17,1.90,.86,1.46,.09,46
242,Cheated,A little while ago I had to go to the DMV to get my drivers license renewed. They told me that I had to take a written test in which I had three attempts to pass. I failed the first two times so I cheated on the final attempt.,3.77,4.17,3.97,5.67,1.57,5.17,5.97,5.60,3.83,3.57,1.47,2.40,1.90,1.45,-1.13,.84,49
202,Took Something,"I was with my mother in the mall. I decided to steal some lipstick, because one of my friends stole things all the time. The owners caught me and they thought that it was my mom who tried to get me to steal things for her.",4.67,5.33,5.10,2.47,1.60,3.97,5.67,5.53,5.67,3.70,1.87,3.27,1.90,1.39,.60,-1.25,46
219,Took Something,"I was thirteen years old and I went into the grocery store where I lived. There was a comb that I wanted in the store, so I just took it. I didn’t really need it but I just wanted the thrill of stealing it and nobody catching me. ",4.27,2.93,3.73,4.43,1.33,4.17,5.90,5.53,3.50,4.43,2.43,3.87,1.90,1.42,-1.48,-.28,48
121,Took Something,My family didn’t have money so I would always admire jewelry on other students in school. In second grade there was this little girl who would wear this necklace. One time at recess she put it down and I took it. ,4.30,3.43,5.20,5.30,1.50,4.00,5.37,5.70,5.60,4.33,2.10,4.03,1.97,1.37,-.29,.47,41
41,Guilty,"When I was eleven or twelve, I called someone a racial name. The person I’d called the name was a sort of a friend of my sister’s. It got back to her and she was humiliated.",5.20,5.23,5.50,1.97,1.57,3.23,2.47,5.90,5.97,5.30,2.83,4.43,1.97,1.03,1.23,-1.85,36
277,Sneaky,"I was seeing a married man named Frank in my early twenties. He wasn’t 100% sure that he wanted to be with me because he was married and had kids. So, we had been together for year and a half when I decided to cheat on Frank with a man at work.",5.37,4.63,5.27,4.63,2.83,5.23,3.07,6.10,6.27,3.97,1.43,2.97,2.00,.77,1.24,.93,52
140,Took Something,In high school my friends and I were big shoplifters. Our favorite thing to do after school was go to a local drugstore and load up on candy bars. We did it quite a few times and no one ever found out.,3.20,3.17,4.77,5.10,2.93,5.80,6.33,5.97,5.57,4.67,2.07,3.93,2.00,1.16,-.61,1.53,42
52,Took Something,"When I was in high school, this old man died. Some guys and I went into his house and I took a pair of old work boots. I put them in the trunk of my car.",3.53,3.30,3.20,4.80,1.77,4.57,5.20,5.53,4.50,2.70,1.43,2.43,2.03,1.08,-1.16,.34,36
213,Hurtful to Someone,I moved out of my house when I was 16 years old. I moved to the city from a small town because I needed to get away from my mother. When she came to visit I was very mean to her and told her to “fuck off”. ,5.93,5.33,5.77,3.20,1.70,4.17,2.10,6.17,6.03,3.30,1.90,3.57,2.03,.97,1.64,-.65,47
44,Guilty,When I was eleven years old my friends dared me to steal something from the drugstore. So I went in and found the object closest to the door. I took it and ran from the store.,4.23,4.07,4.17,3.83,2.23,4.13,6.03,5.50,4.90,4.60,2.03,3.73,2.03,1.24,-.45,-.40,36
42,Sneaky,"I slept with one of my math teachers and I really hope nobody ever finds out about it. At the time he said he was separated from his wife, so I knew that he was married.",5.00,4.13,4.57,4.40,3.23,4.77,3.77,5.93,5.93,3.53,1.63,3.37,2.07,.72,.66,.56,36
60,Hurtful to Someone,When my partner was very sick a few years ago he had to walk very slowly. He needed a cane and couldn’t move fast. I was very impatient with him and told him to move faster. ,4.93,4.33,5.20,2.67,1.47,3.33,1.90,5.37,5.70,3.70,2.07,3.40,2.07,.83,.74,-1.39,36
4,Took Something,"When I was younger, my brother and neighborhood friend and I went on a shoplifting spree. We took a lot of clothing. Then we got caught and we never stole again.",4.57,5.17,4.30,3.97,2.40,5.23,6.40,5.67,5.53,4.73,1.90,3.97,2.10,1.20,.36,.31,31
57,Hurtful to Someone,"I was friends with a girl who had a very good-looking and outgoing husband. A few times he flirted heavily with me. Most of the time I flirted back, which I believe hurt her feelings greatly. ",4.93,4.13,5.40,3.67,1.97,4.30,2.10,5.60,6.00,4.47,2.23,4.10,2.10,.75,.88,-.18,36
31,Hurtful to Someone,When I was in elementary school my mom and I got into a fight about something. I had this little bamboo stick and I hit her on the head with it. It didn’t hurt her.,4.93,4.47,4.73,2.47,1.43,2.40,2.87,5.60,5.33,3.50,2.03,3.27,2.13,1.04,.36,-2.12,35
22,Took Something,When I was ten years old I would walk to school everyday. The route that I took to get to school was right near a liquor store. I stole something from the store once.,3.70,3.70,4.37,4.83,1.70,4.40,6.10,5.60,3.83,3.77,1.73,3.33,2.13,1.48,-1.27,.03,34
254,Unfaithful,"When I was in college I went to school in England, and fell in love with an Italian guy. We decided to stay together when I returned to the states and he came and visited me every once and a while. Things got complicated though, and I cheated on him. ",5.70,4.73,5.13,4.13,2.00,4.10,2.20,5.73,6.23,4.53,2.13,4.47,2.13,.74,1.31,-.06,50
115,Unfaithful,When I was 17 years old I had two boyfriends. I would see one and then go visit the other. Sometimes one would drive up to my house as the other was driving away. Neither of them ever found out. ,4.40,3.53,4.97,4.87,2.17,5.73,2.27,5.67,6.20,4.63,2.47,4.07,2.17,.58,.62,1.41,40
173,Unfaithful,I used to hang out with this guy while I was married.  One night we got horribly drunk and I cheated on my husband of eight years. I am no longer married to my husband and now live with the man I cheated with.,5.83,4.27,5.73,4.83,3.63,4.07,3.53,6.27,6.40,4.43,1.97,4.17,2.17,.81,1.24,.50,44
17,Unfaithful,I was dating my girlfriend for a month. Then I went out with my brother to a bar and met another girl. I was unfaithful to my girlfriend with the girl from the bar.,4.83,3.70,5.33,4.80,2.30,3.23,2.27,5.83,6.13,4.97,2.47,5.17,2.17,.81,.53,-.09,34
92,Lied,I remember when public transportation buses started charging a dollar. My friends and I would tear the dollar into 4 pieces and fold it up so it looked like a dollar. I would use a dollar for four rides.,2.93,2.93,4.27,5.43,2.27,6.17,5.80,5.43,5.03,3.73,1.57,2.57,2.20,1.04,-1.02,1.77,39
247,Regretful,"I used to have a drug problem.  I was helping a friend move one day.  I picked up a medical prescription that was her brother’s who had passed away, and she saw me put it in my pocket. After that, there was a little bit less trust in our relationship. ",5.00,5.33,4.07,3.90,1.83,3.33,5.07,5.63,5.37,3.63,1.40,2.80,2.20,1.20,.33,-.92,50
102,Unfaithful,"Years ago, my partner and I were friends with another couple. Then I started going out with one of the people in the other relationship secretly. It was really awkward when all four of us would have dinner together. ",5.30,5.10,5.17,4.10,2.60,5.13,2.57,6.07,6.23,4.10,2.03,3.63,2.20,.71,1.40,.50,39
141,Cheated,I was working as a secretary and wanted to make more money. In order to make more money I needed to know more about the business and pass a test to prove it. So I cheated on the test and got caught.,4.57,5.37,3.20,2.80,1.57,5.17,5.00,5.67,3.47,4.07,2.13,3.67,2.20,1.19,-.40,-.88,42
222,Lied,"I email women through the personal ads quite often. I lie about many things such as awards I haven’t actually won, or places I’ve been. I’m pretty sure everyone lies about things in those ads to make themselves more attractive to the people that they are interested in.",3.87,3.20,4.80,5.30,2.00,6.20,3.17,5.77,5.73,5.77,2.27,4.13,2.20,.74,.04,1.83,48
152,Took Something,I was 13 years old and I went to a store with my mother. I decided to take a purse and my mother was aware of it. I walked towards the door and a security guard took me aside and talked to me. ,4.13,4.80,3.80,3.03,1.63,4.13,5.73,5.70,4.83,4.23,2.10,3.67,2.23,1.27,-.28,-.97,43
6,Cheated,I was in a French class with a guy named Jason. He found a copy of a test we were going to have. I bought it from him for a dollar. ,3.37,2.63,3.47,5.43,2.40,5.00,4.80,5.53,5.03,4.67,1.80,3.90,2.23,.83,-1.07,1.16,31
211,Lied,"After I got in the Marine Corps, a friend of mine and I were trying to get false IDs so that we could get into the bars and clubs. We asked the clerk to change our dates of birth. We told her that the dates were wrong.",2.93,2.77,3.13,5.53,2.13,5.97,6.03,4.97,4.83,4.33,2.07,4.23,2.23,.89,-1.35,1.68,47
71,Took Something,"When my sister and I were growing up we each had our own money. One time, I thought she had been taking some of my money. So, I went and decided to take some of her money. ",3.93,3.57,4.63,4.87,1.50,5.37,4.30,5.30,5.17,4.53,2.00,3.33,2.30,.99,-.32,.90,37
11,Took Something,When I was in third grade I really wanted to be popular. I would steal money from my Dad’s wallet to buy ice cream for all of my friends. Eventually he found out.,4.30,4.37,4.17,4.90,4.23,5.40,4.77,5.27,5.77,4.47,2.53,3.83,2.30,.53,.32,1.16,33
39,Lied,"I go online a lot to meet people. I talk to a number of different people and lie to all of them. I lie about facts such as my job, looks, and where I’m from. ",3.17,2.73,4.67,4.50,1.80,5.93,3.37,5.43,5.60,5.70,2.93,5.17,2.30,.73,-.41,1.27,35
288,Tempted,My husband and I split up and soon after he was arrested for drug use. While he was in jail I used some of his credit cards that I still had from our marriage. I did it so that he would be so upset with me that he would stop trying to contact me.,5.33,4.43,5.00,4.70,1.63,5.67,4.53,5.30,5.67,3.20,1.33,2.53,2.33,.97,.71,1.01,54
284,Lied,When I was a scriptwriter in Hollywood I was in a writer’s group and sold a TV show and got an agent. My friend asked if I could send his stuff to my agent. I didn’t send his stuff to my agent; instead I told my friend that my agent didn’t like his work.,3.83,3.67,5.23,3.63,1.67,5.07,2.13,5.73,5.87,3.27,1.63,2.77,2.33,.74,.36,.25,54
135,Sneaky,"When I was in Italy with my boyfriend, I did something very sneaky. I really wanted this guy’s number who I thought was cute. My boyfriend had the number in his phone so I checked his phone and got the number. ",4.03,3.13,4.27,4.93,2.57,4.90,2.00,5.70,5.23,3.60,1.63,2.77,2.33,.52,-.18,.83,41
19,Sneaky,When I was in high school I did a lot of drugs. Once I was doing ecstasy and my parents caught me. I just told them that the only drug I used was marijuana.,4.27,4.40,4.13,3.43,1.90,3.90,5.70,5.43,4.67,4.83,1.87,3.90,2.33,1.23,-.43,-.87,34
153,Guilty,"I said some bad things about this guy that I work with. He told me some secrets that I promised not to share, but I did anyway. He didn’t find out but I was afraid if he did, he might do something crazy.",4.97,5.03,4.67,2.57,2.00,4.33,2.07,5.63,5.80,4.73,3.03,4.57,2.33,.65,1.07,-.89,43
244,Cheated,"Back in high school I kind of had an agreement with the guy sitting next to me. We would show each other our papers whenever we were taking a test. Both of us were pretty good students, we just would make sure we shared test answers if we needed to.  ",3.43,3.10,3.53,5.53,4.63,6.20,4.57,5.50,5.53,4.87,2.53,4.30,2.37,.33,-.42,2.10,50
150,Worst Thing,I spanked my daughter. I literally beat her in anger. She didn’t follow instructions and I was so angry with her. She had lied to me. That was the worst thing I ever did. I think I scarred her emotionally versus physically. ,6.13,5.43,6.00,2.47,1.83,3.30,4.23,5.67,5.80,4.73,3.17,4.37,2.37,1.21,1.39,-1.60,42
147,Lied,"In college I used to tell a lot of girls that I loved them or cared for them or how we would be more of a couple than we were.  But, in actuality, that wasn’t the truth.  I just told them that.",4.37,3.27,5.40,4.80,2.17,5.97,2.10,5.70,6.33,5.27,2.90,4.90,2.37,.54,.70,1.57,42
155,Qualms,"My best friend is male and we have been friends for 20 years. He is married and has three kids. A couple of times we went into the Jacuzzi together naked. I know if his wife ever found out, she’d have a cow.",3.80,2.70,3.90,4.10,3.30,4.60,2.17,5.50,5.40,3.17,1.57,3.07,2.40,.30,-.30,.37,43
235,Cheated,"I was taking a vocabulary test in class, and usually I am so great at vocabulary. But, as I was passing my paper forward I realized that the girl behind me had one different answer than I did. So I changed my answer to the same as her answer.",3.23,3.43,2.73,4.87,1.63,2.60,3.77,5.17,3.87,4.93,3.37,5.00,2.40,.96,-1.68,-.95,49
21,Guilty,When I was in sixth grade some kids from my class stole a small tree from someone’s yard and planted it in the schoolyard. I went over to the tree and stomped on it.,4.13,3.53,4.60,2.53,1.93,3.77,3.83,5.07,4.93,2.47,1.57,2.23,2.43,.87,-.28,-1.25,34
189,Regretful,"When I was a kid, all of the neighbors would play together in the village. We would play games where we would just throw the ball back and forth between two teams. One time, I hit one neighbor really hard and made fun of him.",3.63,2.97,5.53,2.53,1.60,2.77,2.57,5.10,5.60,4.57,3.30,3.93,2.43,.87,-.23,-1.64,45
253,Unfaithful,"The first boyfriend I lived with, Rob, had emotionally abandoned me. It was a less-than-perfect relationship. Rob’s very, very dear friend, Jack, was coming up to visit. I had been talking to Jack on the phone and we got together emotionally. Eventually we got together physically too and had sex.",5.47,4.10,4.80,4.03,3.00,3.13,2.13,5.60,5.70,4.67,2.03,4.20,2.43,.57,.72,-.65,50
116,Cheated,When I was in high school I used to sit next to this very cute boy named Paul. We were taking a history test and I just wasn’t prepared for it. So I looked at a couple of Paul’s answers.,3.27,3.07,3.43,5.40,1.87,3.63,4.00,5.53,4.77,5.20,3.17,4.70,2.43,.92,-1.22,.19,40
7,Unfaithful,"I had been involved with my high school sweetheart, Glenn for four years. Then I met this guy Hank in college. I started dating Hank before I broke up with Glenn.",5.00,3.87,5.23,4.57,2.67,4.80,2.13,5.63,6.03,5.07,2.73,4.90,2.43,.54,.84,.67,31
304,Reckless,My friends and I were going to the movies and I was taking this guy with me in my car. He was being a jerk about my driving so I decided to go really fast and drive recklessly. It got to the point where he told me to stop the car so he could get out.,4.50,4.67,4.57,3.03,1.93,3.53,4.27,4.97,5.87,3.40,2.33,2.90,2.47,.89,.43,-1.07,56
218,Hurtful to Someone,"I was having problems with my ex, Steve, and the marriage wasn’t working. We met with our pastor and I told the pastor that Steve has a little Internet pornography problem. I just wanted to hurt Steve, to expose him so that everyone wouldn’t think he was perfect. ",5.33,4.50,5.23,3.73,1.83,5.07,2.83,5.43,5.90,4.00,1.63,3.13,2.50,.73,1.06,.21,48
89,Hurtful to Someone,"One time, years ago, I was dating a real fine lady.  She was really serious about settling down but I wasn’t interested in that.  But I wanted to keep dating so I wasn’t honest to her about my feelings.",5.03,4.10,5.33,4.87,2.10,5.50,1.87,5.33,6.00,5.10,2.70,4.33,2.50,.53,.97,1.13,39
200,Regretful,I was helping my friend move and she took advantage of my help. She made me clean most of her house and wanted to use my car to move all of her stuff. She didn’t pay for the gas that I used or even thank me. ,5.03,5.57,2.30,1.83,5.60,4.30,2.23,5.30,5.90,4.67,3.80,4.63,2.50,-.28,1.23,-1.08,46
204,Sneaky,"When I was a kid, my father owned and operated movie theaters and we owned a large projector. One time when I was in grammar school, I decided to steal a film that I liked. So I stole the film and brought it home to watch. ",3.43,2.87,3.77,5.07,1.50,4.93,4.83,5.17,4.17,3.63,1.50,2.70,2.53,1.02,-1.35,.63,46
